voter_id,first_name,last_name,birth_year,address_line,city,postal_code,latitude,longitude,registration_status,reported_district,source_file,last_updated,received_date,matched_district,duplicate_id_flag,duplicate_person_address_flag,missing_address_flag,invalid_postal_code_flag,missing_location_flag,out_of_region_flag,unmatched_district_flag,district_mismatch_flag,stale_record_flag,anomaly_count,anomaly_types,needs_review
SIM-VR-00022,Hayden,Mock,1984,715 Pandora Ave,Victoria,V3V 5G5,48.440431,-123.348475,Pending Review,Victoria-Swan Lake,VitalStats_Status_Update_2026Q2.csv,2024-11-07,2026-06-02,Victoria-Swan Lake,0,0,0,0,0,0,0,0,1,1,stale_record,1
SIM-VR-00023,Reese,Sample,1985,326 Hillside Ave,Oak Bay,V0P 5T8,48.463589,-123.309845,Active,Oak Bay-Gordon Head,ICBC_Address_Update_2026Q2.csv,2025-11-24,2026-05-25,Oak Bay-Gordon Head,0,0,0,0,0,0,0,0,0,0,,0
SIM-VR-00024,Sam,Mock,1962,8342 Bay St,Esquimalt,V4V 7B2,48.427129,-123.430673,Active,Esquimalt-Metchosin,Contact_Centre_Update_2026Q2.csv,2026-02-08,2026-05-31,Esquimalt-Metchosin,0,0,0,0,0,0,0,0,0,0,,0
SIM-VR-00025,Hayden,Sample,2004,287 Bay St,Oak Bay,V1R 1B6,48.467754,-123.297674,Active,Oak Bay-Gordon Head,VitalStats_Status_Update_2026Q2.csv,2026-03-20,2026-05-07,Oak Bay-Gordon Head,0,0,0,0,0,0,0,0,0,0,,0
SIM-VR-00026,Taylor,Synthetic,1989,5110 Harbour View Rd,Victoria,V4Y 1V3,48.445203,-123.391514,Active,Victoria-Swan Lake,ICBC_Address_Update_2026Q2.csv,2025-06-07,2026-06-17,Victoria-Swan Lake,0,0,0,0,0,0,0,0,1,1,stale_record,1
SIM-VR-00027,Avery,Mock,1992,2692 Tillicum Rd,Esquimalt,V8S 7E1,48.429549,-123.397143,Active,Esquimalt-Metchosin,VitalStats_Status_Update_2026Q2.csv,2024-08-21,2026-06-23,Esquimalt-Metchosin,0,0,0,0,0,0,0,0,1,1,stale_record,1
SIM-VR-00028,Riley,Practice,1952,8590 Gorge Rd,Victoria,V2G 1S1,48.407122,-123.375628,Active,Victoria-Beacon Hill,Federal_Electors_Extract_2026Q2.csv,2025-03-29,2026-05-07,Victoria-Beacon Hill,0,0,0,0,0,0,0,0,1,1,stale_record,1
SIM-VR-00029,Jordan,Placeholder,1968,6568 Hillside Ave,Oak Bay,V6X 9V8,49.238589,-122.846709,Active,Oak Bay-Gordon Head,Online_Registration_Extract_2026Q2.csv,2025-07-20,2026-06-22,,0,0,0,0,0,1,1,0,0,2,out_of_region; unmatched_district,1
SIM-VR-00030,Sam,Public,2003,1934 Admirals Rd,Victoria,V4H 4P9,48.450535,-123.369266,Active,Victoria-Swan Lake,VitalStats_Status_Update_2026Q2.csv,2025-07-21,2026-06-25,Victoria-Swan Lake,0,0,0,0,0,0,0,0,0,0,,0
SIM-VR-00031,Quinn,Test,1951,9472 Harbour View Rd,Esquimalt,V7J 2J8,48.432481,-123.39746,Active,Esquimalt-Metchosin,Online_Registration_Extract_2026Q2.csv,2025-08-04,2026-05-31,Esquimalt-Metchosin,0,0,0,0,0,0,0,0,0,0,,0
SIM-VR-00032,Quinn,Demo,1972,1231 Tillicum Rd,Esquimalt,V2Y 3E7,48.450455,-123.413232,Active,Esquimalt-Metchosin,Contact_Centre_Update_2026Q2.csv,2025-12-22,2026-05-29,Esquimalt-Metchosin,0,0,0,0,0,0,0,0,0,0,,0
SIM-VR-00033,Hayden,Placeholder,2001,6929 Douglas St,Esquimalt,V7C 9T9,48.428964,-123.43905,Active,Esquimalt-Metchosin,Contact_Centre_Update_2026Q2.csv,2026-02-27,2026-06-01,Esquimalt-Metchosin,0,0,0,0,0,0,0,0,0,0,,0
SIM-VR-00034,Jamie,Mock,1944,2448 Pandora Ave,Oak Bay,V0J 5V4,48.44872,-123.302259,Active,Oak Bay-Gordon Head,VitalStats_Status_Update_2026Q2.csv,2026-01-06,2026-06-03,Oak Bay-Gordon Head,0,0,0,0,0,0,0,0,0,0,,0
SIM-VR-00035,Reese,Synthetic,1989,4578 Admirals Rd,Saanich,V6S 2E5,48.468519,-123.354941,Active,Saanich South,Federal_Electors_Extract_2026Q2.csv,2025-02-07,2026-06-04,Saanich South,0,0,0,0,0,0,0,0,1,1,stale_record,1
SIM-VR-00036,Drew,Mock,2000,,Esquimalt,V9A 5T1,48.43621,-123.430889,Active,Esquimalt-Metchosin,Contact_Centre_Update_2026Q2.csv,2026-02-07,2026-06-14,Esquimalt-Metchosin,0,0,1,0,0,0,0,0,0,1,missing_address,1
SIM-VR-00037,Rowan,Training,1995,7122 Fort St,Victoria,V3H 7P7,48.409115,-123.365584,Active,Victoria-Beacon Hill,Online_Registration_Extract_2026Q2.csv,2025-03-13,2026-06-04,Victoria-Beacon Hill,0,0,0,0,0,0,0,0,1,1,stale_record,1
SIM-VR-00038,Quinn,Training,1959,,Oak Bay,V1G 4G6,48.425844,-123.300604,Active,Oak Bay-Gordon Head,VitalStats_Status_Update_2026Q2.csv,2025-05-22,2026-05-12,Oak Bay-Gordon Head,0,0,1,0,0,0,0,0,1,2,missing_address; stale_record,1
SIM-VR-00039,Morgan,Training,1958,8095 Harbour View Rd,Victoria,V2X 4Y9,48.442032,-123.363066,Active,Victoria-Swan Lake,ICBC_Address_Update_2026Q2.csv,2025-08-18,2026-06-19,Victoria-Swan Lake,0,0,0,0,0,0,0,0,0,0,,0
SIM-VR-00040,Alex,Practice,1984,5554 Admirals Rd,Victoria,V2E 5H4,48.42515,-123.389886,Active,Victoria-Beacon Hill,ICBC_Address_Update_2026Q2.csv,2025-11-10,2026-05-04,Victoria-Beacon Hill,0,0,0,0,0,0,0,0,0,0,,0
SIM-VR-00041,Casey,Sample,1952,6686 Cook St,Victoria,V9G 3J7,48.440747,-123.373104,Active,Victoria-Swan Lake,Federal_Electors_Extract_2026Q2.csv,2024-09-15,2026-05-05,Victoria-Swan Lake,0,0,0,0,0,0,0,0,1,1,stale_record,1
SIM-VR-00042,Drew,Public,1996,3931 Shelbourne St,Victoria,V2V 9V4,48.440677,-123.337371,Inactive,Saanich South,ICBC_Address_Update_2026Q2.csv,2025-03-16,2026-05-16,Victoria-Swan Lake,0,0,0,0,0,0,0,1,1,2,district_mismatch; stale_record,1
SIM-VR-00043,Hayden,Example,1959,1899 Cedar Hill Rd,Victoria,V0G 8S0,48.439705,-123.347656,Active,Victoria-Swan Lake,Online_Registration_Extract_2026Q2.csv,2025-10-14,2026-04-26,Victoria-Swan Lake,1,1,0,0,0,0,0,0,0,2,duplicate_id; duplicate_person_address,1
SIM-VR-00044,Hayden,Sample,1995,,Esquimalt,V3S 8V7,48.443012,-123.423135,Active,Esquimalt-Metchosin,Online_Registration_Extract_2026Q2.csv,2024-07-29,2026-05-01,Esquimalt-Metchosin,0,0,1,0,0,0,0,0,1,2,missing_address; stale_record,1
SIM-VR-00045,Casey,Placeholder,1955,6461 Bay St,Victoria,V7E 6T0,,,Active,Victoria-Beacon Hill,VitalStats_Status_Update_2026Q2.csv,2025-03-03,2026-05-11,,0,0,0,0,1,0,1,0,1,3,missing_location; unmatched_district; stale_record,1
SIM-VR-00046,Casey,Training,1987,4751 Tillicum Rd,Esquimalt,V3N 8G8,48.445214,-123.398773,Active,Esquimalt-Metchosin,ICBC_Address_Update_2026Q2.csv,2025-11-24,2026-05-08,Esquimalt-Metchosin,0,0,0,0,0,0,0,0,0,0,,0
SIM-VR-00047,Taylor,Example,1979,9953 Bay St,Saanich,V0Y 2G6,48.4905,-123.369292,Active,Saanich South,Online_Registration_Extract_2026Q2.csv,2024-10-06,2026-04-30,Saanich South,0,0,0,0,0,0,0,0,1,1,stale_record,1
SIM-VR-00048,Casey,Example,1972,6113 Cook St,Oak Bay,V8G 6V8,48.434604,-123.290104,Active,Oak Bay-Gordon Head,Online_Registration_Extract_2026Q2.csv,2026-02-18,2026-06-24,Oak Bay-Gordon Head,0,0,0,0,0,0,0,0,0,0,,0
SIM-VR-00049,Hayden,Placeholder,1991,5662 Fort St,Oak Bay,V1P 3V1,48.456854,-123.317763,Pending Review,Oak Bay-Gordon Head,Federal_Electors_Extract_2026Q2.csv,2025-05-02,2026-05-20,Oak Bay-Gordon Head,0,0,0,0,0,0,0,0,1,1,stale_record,1
SIM-VR-00050,Morgan,Mock,1988,1456 Hillside Ave,Saanich,V1J 3C8,48.499193,-123.374435,Active,Saanich South,Federal_Electors_Extract_2026Q2.csv,2025-02-11,2026-04-26,Saanich South,0,0,0,0,0,0,0,0,1,1,stale_record,1
SIM-VR-00051,Cameron,Practice,1943,2852 Hillside Ave,Victoria,V4V 2R2,48.422771,-123.37502,Active,Victoria-Beacon Hill,Federal_Electors_Extract_2026Q2.csv,2025-11-05,2026-05-20,Victoria-Beacon Hill,0,0,0,0,0,0,0,0,0,0,,0
SIM-VR-00052,Reese,Placeholder,1966,4972 Tillicum Rd,Saanich,V4X 9T6,48.493169,-123.376267,Active,Saanich South,ICBC_Address_Update_2026Q2.csv,2024-11-22,2026-06-18,Saanich South,0,0,0,0,0,0,0,0,1,1,stale_record,1
SIM-VR-00053,Hayden,Training,1980,,Esquimalt,V3B 4G4,48.441866,-123.397519,Inactive,Esquimalt-Metchosin,Contact_Centre_Update_2026Q2.csv,2024-08-05,2026-05-14,Esquimalt-Metchosin,0,0,1,0,0,0,0,0,1,2,missing_address; stale_record,1
SIM-VR-00054,Jamie,Sample,1965,8961 Bay St,Victoria,V1A 6S2,48.420946,-123.375897,Active,Victoria-Beacon Hill,Online_Registration_Extract_2026Q2.csv,2025-01-31,2026-06-24,Victoria-Beacon Hill,0,0,0,0,0,0,0,0,1,1,stale_record,1
SIM-VR-00055,Casey,Example,1988,2389 Admirals Rd,Victoria,V3X 0V6,,,Active,Victoria-Beacon Hill,Online_Registration_Extract_2026Q2.csv,2025-09-04,2026-05-03,,0,0,0,0,1,0,1,0,0,2,missing_location; unmatched_district,1
SIM-VR-00056,Avery,Public,1990,4764 Cedar Hill Rd,Oak Bay,V1T 8X9,48.455061,-123.29423,Active,Oak Bay-Gordon Head,Contact_Centre_Update_2026Q2.csv,2025-05-11,2026-04-26,Oak Bay-Gordon Head,0,0,0,0,0,0,0,0,1,1,stale_record,1
SIM-VR-00057,Avery,Sample,1966,7824 Fort St,Saanich,V4X 2P4,48.496927,-123.387363,Active,Saanich South,ICBC_Address_Update_2026Q2.csv,2025-02-09,2026-04-26,Saanich South,0,0,0,0,0,0,0,0,1,1,stale_record,1
SIM-VR-00058,Quinn,Public,2002,4169 Admirals Rd,Esquimalt,V5J 0N8,,,Active,Esquimalt-Metchosin,Contact_Centre_Update_2026Q2.csv,2024-07-11,2026-04-29,,0,0,0,0,1,0,1,0,1,3,missing_location; unmatched_district; stale_record,1
SIM-VR-00059,Reese,Training,1972,5636 Harbour View Rd,Victoria,V6C 2V2,48.446446,-123.373718,Active,Victoria-Swan Lake,VitalStats_Status_Update_2026Q2.csv,2025-01-19,2026-06-13,Victoria-Swan Lake,0,0,0,0,0,0,0,0,1,1,stale_record,1
SIM-VR-00060,Sam,Placeholder,1944,8041 Tillicum Rd,Saanich,V0H 0T0,48.48536,-123.374748,Active,Saanich South,Online_Registration_Extract_2026Q2.csv,2026-04-25,2026-06-01,Saanich South,0,0,0,0,0,0,0,0,0,0,,0
SIM-VR-00061,Avery,Synthetic,2007,4393 Douglas St,Esquimalt,V9G 7C0,48.445899,-123.442684,Inactive,Oak Bay-Gordon Head,VitalStats_Status_Update_2026Q2.csv,2026-04-02,2026-06-15,Esquimalt-Metchosin,0,0,0,0,0,0,0,1,0,1,district_mismatch,1
SIM-VR-00062,Morgan,Training,1991,1603 Pandora Ave,Victoria,V4A 6B3,48.423738,-123.36836,Active,Victoria-Beacon Hill,Online_Registration_Extract_2026Q2.csv,2024-11-08,2026-06-23,Victoria-Beacon Hill,0,0,0,0,0,0,0,0,1,1,stale_record,1
SIM-VR-00063,Jamie,Practice,1966,3111 Cedar Hill Rd,Victoria,V6A 0G2,49.320515,-122.402265,Active,Victoria-Beacon Hill,ICBC_Address_Update_2026Q2.csv,2026-05-20,2026-04-27,,0,0,0,0,0,1,1,0,0,2,out_of_region; unmatched_district,1
SIM-VR-00064,Cameron,Demo,1970,3064 Cook St,Oak Bay,V3R 2R8,48.435483,-123.307017,Active,Oak Bay-Gordon Head,Federal_Electors_Extract_2026Q2.csv,2024-09-13,2026-06-05,Oak Bay-Gordon Head,0,0,0,0,0,0,0,0,1,1,stale_record,1
SIM-VR-00065,Riley,Training,1979,9378 Hillside Ave,Saanich,V6A 6H8,48.475648,-123.355649,Active,Saanich South,Federal_Electors_Extract_2026Q2.csv,2025-05-10,2026-05-26,Saanich South,0,0,0,0,0,0,0,0,1,1,stale_record,1
SIM-VR-00066,Hayden,Training,1971,4225 Harbour View Rd,Oak Bay,V9G 1X6,,,Active,Oak Bay-Gordon Head,Federal_Electors_Extract_2026Q2.csv,2025-02-22,2026-06-14,,0,0,0,0,1,0,1,0,1,3,missing_location; unmatched_district; stale_record,1
SIM-VR-00067,Riley,Placeholder,2002,228 Cook St,Victoria,V3J 9H7,48.425698,-123.364671,Active,Victoria-Beacon Hill,Online_Registration_Extract_2026Q2.csv,2024-12-24,2026-05-03,Victoria-Beacon Hill,0,0,0,0,0,0,0,0,1,1,stale_record,1
SIM-VR-00068,Quinn,Training,1946,2483 Harbour View Rd,Oak Bay,V7N 7E9,48.436719,-123.306423,Pending Review,Oak Bay-Gordon Head,Contact_Centre_Update_2026Q2.csv,2025-11-15,2026-06-21,Oak Bay-Gordon Head,0,0,0,0,0,0,0,0,0,0,,1
SIM-VR-00069,Jordan,Demo,2007,7827 Hillside Ave,Esquimalt,V4N 5S9,48.407709,-123.425093,Active,Esquimalt-Metchosin,VitalStats_Status_Update_2026Q2.csv,2025-06-18,2026-06-10,Esquimalt-Metchosin,0,0,0,0,0,0,0,0,1,1,stale_record,1
SIM-VR-00070,Rowan,Demo,1972,6388 Douglas St,Saanich,V6Y 3S5,48.491957,-123.358985,Pending Review,Saanich South,Contact_Centre_Update_2026Q2.csv,2026-01-15,2026-05-30,Saanich South,0,0,0,0,0,0,0,0,0,0,,1
SIM-VR-00071,Taylor,Mock,1977,3188 Harbour View Rd,Esquimalt,V0R 4B5,48.419422,-123.407148,Inactive,Esquimalt-Metchosin,ICBC_Address_Update_2026Q2.csv,2024-08-09,2026-04-30,Esquimalt-Metchosin,0,0,0,0,0,0,0,0,1,1,stale_record,1
SIM-VR-00072,Jamie,Test,1971,8893 Gorge Rd,Esquimalt,V8H 4R8,48.418609,-123.411359,Active,Esquimalt-Metchosin,VitalStats_Status_Update_2026Q2.csv,2025-03-27,2026-05-21,Esquimalt-Metchosin,0,0,0,0,0,0,0,0,1,1,stale_record,1
SIM-VR-00073,Jordan,Example,1984,6661 Hillside Ave,Saanich,V2E 4R1,48.469839,-123.352684,Active,Victoria-Beacon Hill,Federal_Electors_Extract_2026Q2.csv,2025-10-15,2026-06-22,Saanich South,0,0,0,0,0,0,0,1,0,1,district_mismatch,1
SIM-VR-00074,Drew,Training,1952,6727 Douglas St,Victoria,V8Z-4K9,48.446471,-123.36602,Active,Victoria-Swan Lake,ICBC_Address_Update_2026Q2.csv,2024-07-17,2026-06-24,Victoria-Swan Lake,0,0,0,1,0,0,0,0,1,2,invalid_postal_code; stale_record,1
SIM-VR-00075,Avery,Example,1947,3374 Harbour View Rd,Victoria,V4E 1N6,48.451957,-123.365701,Active,Victoria-Swan Lake,ICBC_Address_Update_2026Q2.csv,2026-02-16,2026-06-09,Victoria-Swan Lake,0,0,0,0,0,0,0,0,0,0,,0
SIM-VR-00076,Parker,Training,1948,4516 Pandora Ave,Victoria,V3R 4H2,48.420451,-123.369568,Pending Review,Victoria-Beacon Hill,Contact_Centre_Update_2026Q2.csv,2025-07-07,2026-06-22,Victoria-Beacon Hill,0,0,0,0,0,0,0,0,0,0,,1
SIM-VR-00077,Cameron,Test,1997,5609 Cook St,Victoria,V3C 0C8,,,Active,Victoria-Swan Lake,ICBC_Address_Update_2026Q2.csv,2024-09-30,2026-06-07,,0,0,0,0,1,0,1,0,1,3,missing_location; unmatched_district; stale_record,1
SIM-VR-00078,Drew,Public,1947,8981 Harbour View Rd,Saanich,,48.476638,-123.352443,Pending Review,Saanich South,VitalStats_Status_Update_2026Q2.csv,2024-11-02,2026-06-14,Saanich South,0,0,0,1,0,0,0,0,1,2,invalid_postal_code; stale_record,1
SIM-VR-00079,Hayden,Synthetic,1983,3128 Admirals Rd,Victoria,V7N 3V3,48.412066,-123.364036,Active,Victoria-Beacon Hill,Online_Registration_Extract_2026Q2.csv,2025-07-15,2026-06-19,Victoria-Beacon Hill,0,0,0,0,0,0,0,0,0,0,,0
SIM-VR-00080,Reese,Placeholder,1973,3769 Bay St,Esquimalt,,,,Active,Esquimalt-Metchosin,Contact_Centre_Update_2026Q2.csv,2026-05-29,2026-06-08,,0,0,0,1,1,0,1,0,0,3,invalid_postal_code; missing_location; unmatched_district,1
SIM-VR-00081,Parker,Sample,1971,174 Douglas St,Victoria,V8Y 7S3,48.415887,-123.369455,Active,Victoria-Beacon Hill,Contact_Centre_Update_2026Q2.csv,2026-06-20,2026-05-29,Victoria-Beacon Hill,0,0,0,0,0,0,0,0,0,0,,0
SIM-VR-00082,Taylor,Sample,1987,8461 Cook St,Victoria,V8Z-4K9,48.435568,-123.376117,Active,Victoria-Swan Lake,Online_Registration_Extract_2026Q2.csv,2026-01-07,2026-05-26,Victoria-Swan Lake,0,0,0,1,0,0,0,0,0,1,invalid_postal_code,1
SIM-VR-00083,Sam,Example,1995,103 Fort St,Victoria,V8G 9C5,48.411076,-123.391223,Pending Review,Saanich South,Contact_Centre_Update_2026Q2.csv,2025-08-13,2026-06-25,Victoria-Beacon Hill,1,1,0,0,0,0,0,1,0,3,duplicate_id; duplicate_person_address; district_mismatch,1
SIM-VR-00084,Hayden,Practice,1967,,Saanich,V6E 2T4,48.478272,-123.363451,Active,Saanich South,Online_Registration_Extract_2026Q2.csv,2026-01-18,2026-05-25,Saanich South,0,0,1,0,0,0,0,0,0,1,missing_address,1
SIM-VR-00085,Hayden,Demo,1981,9843 Admirals Rd,Esquimalt,V3A 3P6,48.447169,-123.439379,Active,Esquimalt-Metchosin,Federal_Electors_Extract_2026Q2.csv,2024-09-12,2026-05-23,Esquimalt-Metchosin,0,0,0,0,0,0,0,0,1,1,stale_record,1
SIM-VR-00086,Drew,Example,1998,3459 Cook St,Oak Bay,V8Z4,48.433029,-123.324091,Inactive,Oak Bay-Gordon Head,VitalStats_Status_Update_2026Q2.csv,2026-01-19,2026-05-16,Oak Bay-Gordon Head,0,0,0,1,0,0,0,0,0,1,invalid_postal_code,1
SIM-VR-00087,Alex,Placeholder,1988,3425 Fort St,Victoria,V0B 9X2,48.460837,-123.355847,Active,Victoria-Swan Lake,Federal_Electors_Extract_2026Q2.csv,2025-03-03,2026-06-12,Victoria-Swan Lake,0,0,0,0,0,0,0,0,1,1,stale_record,1
SIM-VR-00088,Drew,Example,1989,9777 Pandora Ave,Saanich,V6H 3E3,48.469247,-123.374348,Active,Saanich South,Contact_Centre_Update_2026Q2.csv,2025-09-30,2026-06-02,Saanich South,0,0,0,0,0,0,0,0,0,0,,0
SIM-VR-00089,Avery,Test,2003,5241 Cedar Hill Rd,Saanich,V6V 1V6,48.468118,-123.388671,Active,Saanich South,Online_Registration_Extract_2026Q2.csv,2025-03-17,2026-06-13,Saanich South,0,0,0,0,0,0,0,0,1,1,stale_record,1
SIM-VR-00090,Parker,Example,1987,3117 Pandora Ave,Esquimalt,V2T 6P7,48.446942,-123.43973,Inactive,Esquimalt-Metchosin,ICBC_Address_Update_2026Q2.csv,2025-12-18,2026-05-25,Esquimalt-Metchosin,0,0,0,0,0,0,0,0,0,0,,0
SIM-VR-00091,Parker,Public,1975,2809 Fort St,Oak Bay,V9H 0B2,48.425921,-123.319152,Active,Oak Bay-Gordon Head,Online_Registration_Extract_2026Q2.csv,2025-04-21,2026-06-25,Oak Bay-Gordon Head,1,1,0,0,0,0,0,0,1,3,duplicate_id; duplicate_person_address; stale_record,1
SIM-VR-00092,Jamie,Synthetic,2005,3083 Hillside Ave,Oak Bay,V4P 4H1,48.435931,-123.290942,Pending Review,Oak Bay-Gordon Head,Online_Registration_Extract_2026Q2.csv,2024-11-01,2026-06-12,Oak Bay-Gordon Head,0,0,0,0,0,0,0,0,1,1,stale_record,1
SIM-VR-00093,Drew,Sample,1968,3406 Shelbourne St,Saanich,V6X 3E0,48.475734,-123.363575,Active,Saanich South,VitalStats_Status_Update_2026Q2.csv,2024-11-25,2026-05-04,Saanich South,0,0,0,0,0,0,0,0,1,1,stale_record,1
SIM-VR-00094,Reese,Example,1990,2013 Cedar Hill Rd,Saanich,V6X 3P1,48.49748,-123.388064,Active,Saanich South,Federal_Electors_Extract_2026Q2.csv,2026-06-02,2026-06-25,Saanich South,0,0,0,0,0,0,0,0,0,0,,0
SIM-VR-00095,Jordan,Practice,1943,7029 Gorge Rd,Victoria,V7S 3X1,48.409021,-123.370551,Active,Victoria-Beacon Hill,Federal_Electors_Extract_2026Q2.csv,2025-09-30,2026-05-20,Victoria-Beacon Hill,0,0,0,0,0,0,0,0,0,0,,0
